test_size,epochs,nblayers,fake,r2,evs,mae,time
0.95,1,1,1,-0.15298416362005196,-0.09533123413642852,0.8694728253005278,0.6391754150390625
0.95,2,1,1,0.1911697945542462,0.2300212783063632,0.7295282927509821,0.4632999897003174
0.95,3,1,1,0.3516408582742291,0.3531804439231254,0.5711813205901893,0.5081155300140381
0.95,4,1,1,0.5781709103237254,0.5795346872211995,0.4685330283664912,0.5461759567260742
0.95,5,1,1,0.23470739788637107,0.24724285764880083,0.5853762598495582,0.5895214080810547
0.95,6,1,1,0.5119507457948346,0.5119509803756428,0.49018209786902767,0.728907585144043
0.95,7,1,1,0.6396978883923901,0.6399622314713082,0.3995180984406207,0.6817123889923096
0.95,8,1,1,0.5374461637451876,0.5435672427009711,0.42130788225329036,0.7234923839569092
0.95,9,1,1,0.6134635787721836,0.6141252107827455,0.4138923594840847,0.7482097148895264
0.95,10,1,1,0.7038405291440453,0.7038938164239137,0.33742949503902336,0.7639739513397217
0.95,11,1,1,0.7430660273509841,0.7440312458156608,0.3062939172999221,0.816765546798706
0.95,12,1,1,0.8664661746530886,0.8680064258378131,0.24286317358381668,0.8594198226928711
0.95,13,1,1,0.8590676904798253,0.859067728880671,0.24969874892230992,0.8964817523956299
0.95,14,1,1,0.7406635617069182,0.7412289936825232,0.2996959545777407,0.9517889022827148
0.95,15,1,1,0.86412190543811,0.8646743780033799,0.2267760780085426,1.314206600189209
0.95,16,1,1,0.8704252761424128,0.8704253749057598,0.22821835535301963,1.0262458324432373
0.95,17,1,1,0.8626560712079727,0.8633921825694579,0.24164521500970407,1.0629911422729492
0.95,18,1,1,0.7808824240667109,0.7819265401524123,0.290453932110708,1.1047842502593994
0.95,19,1,1,0.8581465324308215,0.8582203738102403,0.25080788241568386,1.179316520690918
0.95,20,1,1,0.8499913485994197,0.8501888864265894,0.219422066938288,1.3133201599121094
0.955,1,1,1,-0.05502584998313664,-0.05496424038184933,0.7705441616310501,0.43303942680358887
0.955,2,1,1,0.20174149806592623,0.22724893455588524,0.6107471953061585,0.45430803298950195
0.955,3,1,1,0.14828479341322598,0.1498984835860322,0.6548647086826114,0.512321949005127
0.955,4,1,1,0.4827148784633798,0.5055676729011342,0.44044026423159566,0.7525248527526855
0.955,5,1,1,0.38907587138964883,0.40875007225344273,0.5078218169508377,0.6041123867034912
0.955,6,1,1,0.47880378365580734,0.4846064481975143,0.46785770814174577,0.6448879241943359
0.955,7,1,1,0.614687211979575,0.6479757092607455,0.36670255100079907,0.6801609992980957
0.955,8,1,1,0.769210948879806,0.7697234125158776,0.32460552059362224,0.7529678344726562
0.955,9,1,1,0.7679903573627911,0.7682269020077707,0.3215456606816377,0.7867100238800049
0.955,10,1,1,0.7771672922895478,0.7778299712411465,0.2890161321157084,0.9171996116638184
0.955,11,1,1,0.8144813783383464,0.8164847784069094,0.265218570612182,0.9271669387817383
0.955,12,1,1,0.7311735616068583,0.7332178680164712,0.30221734261871314,0.859910249710083
0.955,13,1,1,0.8287820241086779,0.8291978067003329,0.24379934679147192,1.1525161266326904
0.955,14,1,1,0.8339911801450407,0.8340342275267962,0.260163700285466,1.000910997390747
0.955,15,1,1,0.8528540581069004,0.8536588870802186,0.2344804806423663,1.1467018127441406
0.955,16,1,1,0.8151792910729866,0.8183746185653262,0.2951702777706395,1.20222806930542
0.955,17,1,1,0.8823602782642365,0.8825350656423829,0.2203973277214027,1.1510276794433594
0.955,18,1,1,0.8560984113473535,0.8571399601818498,0.24306546179941146,1.1194851398468018
0.955,19,1,1,0.8627684451718834,0.8627901980206395,0.23327199081413985,1.1874582767486572
0.955,20,1,1,0.8760070647108376,0.876007090496553,0.22998533481499617,1.2302136421203613
0.96,1,1,1,0.23708673508915135,0.2379493938742553,0.6404391743356941,0.4367377758026123
0.96,2,1,1,0.12722737114225402,0.2481402150559675,0.5998336244594675,0.47063493728637695
0.96,3,1,1,0.19634101787384184,0.22065184679125704,0.6987649607614606,0.5051944255828857
0.96,4,1,1,0.2376169214290279,0.2513999026161242,0.6624772290700708,0.5293328762054443
0.96,5,1,1,0.46546746688471685,0.48240457944482396,0.4540950256779257,0.5696780681610107
0.96,6,1,1,0.5437249271865909,0.5567507335791664,0.4814361766966587,0.6357650756835938
0.96,7,1,1,0.72427020432522,0.7261341921433555,0.365352242051392,0.6672706604003906
0.96,8,1,1,0.5511706780445458,0.5599151536227918,0.4784110352074268,0.7558395862579346
0.96,9,1,1,0.6371324713278006,0.6509988162203215,0.3565345466435939,0.7628538608551025
0.96,10,1,1,0.6416824196216995,0.6612143458499278,0.33607654812064636,0.8444821834564209
0.96,11,1,1,0.7192966868359273,0.721301518718856,0.3456046451017558,0.891740083694458
0.96,12,1,1,0.7097271087110989,0.7241241280297446,0.31622622181006105,0.8975934982299805
0.96,13,1,1,0.7506659384968601,0.752209199803805,0.30092821912476825,0.9683699607849121
0.96,14,1,1,0.7811662619334857,0.783583240143808,0.2917930325267557,0.9996438026428223
0.96,15,1,1,0.7194200223182636,0.725962799373985,0.30653050521973607,0.998908281326294
0.96,16,1,1,0.7843123101587588,0.7867197847999359,0.2700746224157863,1.0300724506378174
