test_size,epochs,nblayers,fake,r2,evs,mae,time
0.955,14,1,1,0.8116571481316122,0.8117513063259545,0.2982918198478724,1.334007978439331
0.955,15,1,1,0.8037791553738092,0.804042168933959,0.30275226805866406,1.6561501026153564
0.955,16,1,1,0.7889754938701631,0.7890814129042768,0.30431611509526546,1.519075870513916
0.955,17,1,1,0.8350587066026826,0.8350835229011914,0.2715324748142392,1.9434101581573486
0.955,18,1,1,0.8298776036876585,0.829879388226423,0.28029674061867954,1.5282835960388184
0.955,19,1,1,0.8259063522192661,0.8260314208176524,0.2777522079397527,1.5650084018707275
0.955,20,1,1,0.857947533071968,0.857950203576472,0.25164689437628046,1.6865639686584473
0.96,1,1,1,0.20235994516630196,0.26342130246587914,0.6672456921120443,0.46060895919799805
0.96,2,1,1,0.19479733058706872,0.20661525103762668,0.7130221948679979,0.7803258895874023
0.96,3,1,1,0.43977942487712485,0.4588625429082147,0.5323561694479259,0.6156957149505615
0.96,4,1,1,0.33361294932158336,0.37092584956856545,0.5827337060488099,0.6899714469909668
0.96,5,1,1,0.6153784106519915,0.6159897749930894,0.4408225914610651,0.7951929569244385
0.96,6,1,1,0.6385869672278892,0.6395212524741456,0.45247156129047833,0.7814488410949707
0.96,7,1,1,0.631546477394005,0.6323381127141998,0.4283668882184091,0.8336796760559082
0.96,8,1,1,0.6305791909130587,0.630940851971636,0.4382720143458763,0.950833797454834
0.96,9,1,1,0.6759117791740097,0.6767328102945047,0.3944408881114107,0.9719774723052979
0.96,10,1,1,0.7563087594205458,0.7563341616137504,0.3487686038156476,1.0538768768310547
0.96,11,1,1,0.7854057676372175,0.7855135789383405,0.3161450098838067,1.2698967456817627
0.96,12,1,1,0.7769975523156418,0.777928142262279,0.3249989093928444,1.2041726112365723
0.96,13,1,1,0.691486056423144,0.691536309207514,0.38103561025599225,1.2393138408660889
0.96,14,1,1,0.7751668794319471,0.7751725809720356,0.3250653159187649,1.2942094802856445
0.96,15,1,1,0.804774309389348,0.8048619605526997,0.29550578247206044,1.348034381866455
0.96,16,1,1,0.8111534471198472,0.8116285193953008,0.29023858206997355,1.3784964084625244
0.96,17,1,1,0.8166393249830193,0.8167652531489524,0.2898428547049633,1.6483852863311768
0.96,18,1,1,0.8468061193160756,0.847003086727814,0.2644462081076122,1.8582053184509277
0.96,19,1,1,0.8240313182973074,0.824236089945796,0.28319390309978937,1.6883111000061035
0.96,20,1,1,0.8175704603765532,0.8176311854847346,0.2890003349549219,1.6568326950073242
0.965,1,1,1,0.11192870739836602,0.11390117547862177,0.7314251667076833,0.45249462127685547
0.965,2,1,1,0.08145564061617439,0.08341554145109509,0.7373229945450224,0.5006353855133057
0.965,3,1,1,0.3115047185160953,0.31650734254871404,0.6382481971419777,0.5973243713378906
0.965,4,1,1,0.3429612883144837,0.34802805454715857,0.5955202552758296,0.6561019420623779
0.965,5,1,1,0.5215028201985115,0.5231255492826759,0.5101245984511109,0.7168269157409668
0.965,6,1,1,0.5914901201140033,0.5937980352511177,0.4574410214990096,0.7500357627868652
0.965,7,1,1,0.5353706720072184,0.5354645371040758,0.506341934089982,0.7985951900482178
0.965,8,1,1,0.5827985953176273,0.5853523160041274,0.47516368654590396,1.0635390281677246
0.965,9,1,1,0.6040598382498372,0.604541664230688,0.4500623125535164,0.9507198333740234
0.965,10,1,1,0.646581252001861,0.6545743969887949,0.44328021264628015,1.0569074153900146
0.965,11,1,1,0.7234713711859175,0.724201094896852,0.3844100406936018,1.0946927070617676
0.965,12,1,1,0.7647141961425805,0.7647658829561929,0.33194157514690786,1.1301765441894531
0.965,13,1,1,0.7342157537844788,0.7342773533392701,0.3671453521700635,1.2155001163482666
0.965,14,1,1,0.7796354464103158,0.7796407694499099,0.32914910023828975,1.301387071609497
0.965,15,1,1,0.7681752830026481,0.7681800259452336,0.3273723003817684,1.3760666847229004
0.965,16,1,1,0.7392068490431343,0.739326288255512,0.3465430113790716,1.440704107284546
0.965,17,1,1,0.8046440093645166,0.8046826205297282,0.30348083402335524,1.517700433731079
0.965,18,1,1,0.8051339180263594,0.8051506181972037,0.3044133876261493,1.680288553237915
0.965,19,1,1,0.8061660167589875,0.8061878083557923,0.302636709448771,1.5721514225006104
0.965,20,1,1,0.8326635565823729,0.833023255305676,0.2757695759875426,1.6058917045593262
0.97,1,1,1,0.10730270981664747,0.10735300947464665,0.7399826420410056,0.43669748306274414
0.97,2,1,1,0.09308304417965696,0.11673623275985268,0.7333021397942018,0.5352988243103027
0.97,3,1,1,0.35072118860618706,0.3675424322330071,0.5889648776719525,0.5853698253631592
0.97,4,1,1,0.3456000707967556,0.34576817087210443,0.6311347693954114,0.6499934196472168
0.97,5,1,1,0.5342791407232552,0.5472644642651388,0.4989385325653412,0.7260415554046631
0.97,6,1,1,0.5354041810814567,0.5359386714116127,0.5124119987487258,0.7759735584259033
0.97,7,1,1,0.5695562368117526,0.5698402357990437,0.48502107188520405,1.018709421157837
0.97,8,1,1,0.6746131563887556,0.6748493229750145,0.4120131169862464,0.8828802108764648
0.97,9,1,1,0.6560747880613617,0.6573825141786341,0.4068945246561736,1.0082447528839111
0.97,10,1,1,0.7138136380624202,0.7138400647850702,0.3692747605856142,1.0394527912139893
0.97,11,1,1,0.6905368513648815,0.6907065358926646,0.3805855521346634,1.0954160690307617
0.97,12,1,1,0.7438648616110287,0.7449416973598147,0.35626966379897007,1.1329035758972168
0.97,13,1,1,0.7570381197707715,0.7571623249871061,0.35700118330116354,1.217259168624878
0.97,14,1,1,0.7736532062694134,0.7740650290368318,0.33378566910241986,1.2729809284210205
0.97,15,1,1,0.7405596089973747,0.7407745498444925,0.3539418464391764,1.5120608806610107
0.97,16,1,1,0.8031616786432584,0.8047286175259728,0.30990147563680476,1.3979132175445557
0.97,17,1,1,0.7473834491539799,0.7496223510277005,0.34394624697041526,1.4493823051452637
0.97,18,1,1,0.7450676640320055,0.7453498460575716,0.3633686814114587,1.6463816165924072
0.97,19,1,1,0.8129235453577638,0.8130484116786042,0.2988261421948882,1.5330305099487305
0.97,20,1,1,0.8031133935495214,0.8041206217850468,0.29989967624306174,1.5967762470245361
